step,avg_rho
400,0.455
800,0.5507
1200,0.6012
1600,0.6284
2000,0.6442
2400,0.6532
2800,0.6573
3200,0.6658
3600,0.6671
4000,0.6689
8000,0.6782
12000,0.6784
16000,0.684
20000,0.6852
24000,0.6855
28000,0.6865
32000,0.6885
36000,0.686
40000,0.6874
44000,0.688
48000,0.6858
52000,0.689
56000,0.6893
60000,0.691
64000,0.6877
68000,0.6864
72000,0.687
76000,0.6864
80000,0.6875
84000,0.6852
88000,0.6836
92000,0.6862
96000,0.6864
100000,0.6852
104000,0.687
108000,0.6857
112000,0.6852
116000,0.6853
117188,0.6844
